RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
1.1804,per pound,0.4586,0.4519,pounds,1.1633
1.5193,per pound,0.9,0.2425,pounds,0.4094
1.066,per pound,1.0,0.5401,pounds,0.5758
0.5853,per pint,1.0,8.0,fluid ounces,0.2926
0.7804,per pint,1.0,8.0,fluid ounces,0.3902
2.9665,per pound,0.93,0.3638,pounds,1.1603
6.6188,per pound,1.0,0.1433,pounds,0.9485
1.6905,per pound,1.0,0.5401,pounds,0.9131
2.06,per pound,0.65,0.4409,pounds,1.3974
2.1913,per pound,0.375,0.3858,pounds,2.2545
3.4119,per pound,0.65,0.3858,pounds,2.0251
2.7576,per pound,0.4938,0.3968,pounds,2.2159
3.1269,per pound,0.65,0.3968,pounds,1.909
6.7045,per pound,1.0335,0.3968,pounds,2.5742
2.2368,per pound,0.7408,0.3197,pounds,0.9653
0.5249,per pound,0.64,0.3307,pounds,0.2712
1.2684,per pound,0.65,0.3748,pounds,0.7314
3.5585,per pound,1.0,0.3307,pounds,1.1768
1.0281,per pound,0.65,0.3858,pounds,0.6102
1.3753,per pound,2.4692,0.3858,pounds,0.2149
6.0172,per pound,0.96,0.3197,pounds,2.0037
3.6362,per pound,1.0,0.3307,pounds,1.2025
1.0375,per pound,0.65,0.3748,pounds,0.5982
1.7584,per pound,2.5397,0.3858,pounds,0.2671
4.1739,per pound,0.95,0.3197,pounds,1.4045
3.3898,per pound,1.0,0.3307,pounds,1.121
2.1543,per pound,0.8818,0.3417,pounds,0.8348
2.7486,per pound,1.0,0.3417,pounds,0.9393
2.3065,per pound,0.78,0.3417,pounds,1.0105
2.6895,per pound,1.06,0.3417,pounds,0.867
2.6214,per pound,0.96,0.3417,pounds,0.9331
1.2325,per pound,0.714,0.4519,pounds,0.7802
0.7025,per pound,0.7788,0.3307,pounds,0.2983
1.0985,per pound,0.7791,0.3307,pounds,0.4663
1.2823,per pound,0.65,0.3086,pounds,0.6089
0.5767,per pound,0.51,0.3748,pounds,0.4238
1.1315,per pound,0.65,0.3197,pounds,0.5565
1.6763,per pound,0.98,0.3197,pounds,0.5468
1.2716,per pound,1.0,0.2756,pounds,0.3504
0.8703,per pound,0.8158,0.3197,pounds,0.341
0.8703,per pound,0.89,0.2756,pounds,0.2695
1.9946,per pound,0.9304,0.2756,pounds,0.5908
3.5859,per pound,0.9702,0.2756,pounds,1.0185
1.9769,per pound,0.8926,0.2756,pounds,0.6103
2.4041,per pound,1.0,0.2646,pounds,0.636
0.9842,per pound,0.73,0.2646,pounds,0.3567
3.4269,per pound,0.92,0.3417,pounds,1.2729
4.5257,per pound,0.65,0.4409,pounds,3.07
1.3847,per pound,0.77,0.463,pounds,0.8326
2.682,per pound,1.16,0.2866,pounds,0.6626
1.0418,per pound,0.65,0.3638,pounds,0.583
1.9022,per pound,0.8818,0.3638,pounds,0.7846
1.8908,per pound,0.54,0.3638,pounds,1.2737
1.0287,per pound,0.65,0.3638,pounds,0.5757
1.6642,per pound,0.963,0.3638,pounds,0.6286
4.6513,per pound,1.0,0.1232,pounds,0.5729
1.1933,per pound,0.97,0.2646,pounds,0.3255
1.1933,per pound,0.73,0.2646,pounds,0.4325
5.5713,per pound,1.0,0.1653,pounds,0.9212
6.8371,per pound,0.96,0.1653,pounds,1.1776
1.7198,per pound,1.0,0.5401,pounds,0.9289
1.5932,per pound,0.65,0.4409,pounds,1.0808
1.1695,per pound,0.49,0.463,pounds,1.105
1.0415,per pint,1.0,8.0,fluid ounces,0.5208
1.8398,per pound,0.96,0.3307,pounds,0.6338
3.7801,per pound,1.0,0.1653,pounds,0.625
0.7119,per pint,1.0,8.0,fluid ounces,0.3559
0.9215,per pint,1.0,8.0,fluid ounces,0.4607
1.0095,per pound,0.65,0.3858,pounds,0.5992
1.6965,per pound,2.4692,0.3858,pounds,0.2651
2.1463,per pound,0.8466,0.2756,pounds,0.6987
1.0175,per pound,0.65,0.2976,pounds,0.4659
1.946,per pound,0.903,0.2976,pounds,0.6414
1.2516,per pound,0.65,0.3527,pounds,0.6792
1.8937,per pound,0.8924,0.3527,pounds,0.7485
1.2772,per pound,0.82,0.2646,pounds,0.4121
0.9056,per pound,0.46,0.3748,pounds,0.7378
2.5018,per pound,1.05,0.2866,pounds,0.6829
2.1257,per pound,0.8995,0.3638,pounds,0.8597
0.9719,per pound,0.65,0.3858,pounds,0.5768
1.7218,per pound,2.4692,0.3858,pounds,0.269
2.1849,per pound,0.76,0.3858,pounds,1.1091
1.6493,per pound,2.4692,0.3858,pounds,0.2577
0.9952,per pound,0.95,0.2425,pounds,0.254
1.8299,per pound,0.94,0.2094,pounds,0.4077
2.5766,per pound,0.85,0.2094,pounds,0.6349
1.4004,per pound,0.65,0.3748,pounds,0.8075
1.8995,per pound,1.097,0.3748,pounds,0.6489
2.1861,per pound,2.5397,0.3858,pounds,0.3321
1.1513,per pound,0.71,0.3638,pounds,0.5898
10.5527,per pound,1.0,0.1253,pounds,1.3219
2.0033,per pound,0.97,0.3105,pounds,0.6413
1.5339,per pound,0.65,0.3392,pounds,0.8004
1.5296,per pound,0.99,0.3392,pounds,0.5241
1.5978,per pound,0.97,0.334,pounds,0.5502
3.6417,per pound,1.0,0.1543,pounds,0.562
3.4464,per pound,0.97,0.1543,pounds,0.5483
1.0496,per pound,0.65,0.3307,pounds,0.534
1.9288,per pound,0.7478,0.3307,pounds,0.853
1.0492,per pound,0.65,0.3858,pounds,0.6228
1.4942,per pound,2.4692,0.3858,pounds,0.2335
1.9062,per pound,0.91,0.3197,pounds,0.6696
3.9803,per pound,0.7695,0.3527,pounds,1.8246
1.8562,per pound,0.8995,0.3748,pounds,0.7734
5.7719,per pound,1.0,0.2976,pounds,1.7179
0.9751,per pound,0.9,0.3527,pounds,0.3822
1.2131,per pound,0.68,0.4079,pounds,0.7276
0.769,per pint,1.0,8.0,fluid ounces,0.3845
0.9842,per pint,1.0,8.0,fluid ounces,0.4921
1.2904,per pound,0.62,0.3086,pounds,0.6424
5.5089,per pound,1.0,0.1543,pounds,0.8502
1.7167,per pound,0.96,0.3417,pounds,0.6111
3.3867,per pound,1.0,0.3307,pounds,1.12
2.0237,per pound,1.0,0.5401,pounds,1.0931
1.8117,per pound,0.65,0.4409,pounds,1.229
1.5865,per pound,0.9,0.3638,pounds,0.6412
1.9546,per pound,1.0,0.5401,pounds,1.0557
1.897,per pound,0.65,0.4409,pounds,1.2868
0.5685,per pound,0.51,0.3638,pounds,0.4055
6.6492,per pound,1.0,0.1543,pounds,1.0261
0.6973,per pint,1.0,8.0,fluid ounces,0.3486
1.4344,per pound,1.0,0.5401,pounds,0.7748
1.4067,per pound,0.65,0.4409,pounds,0.9543
1.0288,per pint,1.0,8.0,fluid ounces,0.5144
0.8742,per pound,0.65,0.3858,pounds,0.5189
1.2933,per pound,2.4692,0.3858,pounds,0.2021
2.0292,per pound,0.94,0.3638,pounds,0.7852
1.5522,per pint,1.0,8.0,fluid ounces,0.7761
5.7042,per pound,1.0,0.1874,pounds,1.0689
2.235,per pound,0.56,0.3417,pounds,1.3638
3.122,per pint,1.0,8.0,fluid ounces,1.561
0.6682,per pound,0.8113,0.2646,pounds,0.2179
1.107,per pound,0.65,0.3417,pounds,0.582
1.5371,per pound,0.776,0.3417,pounds,0.6769
2.0172,per pound,1.0,0.5401,pounds,1.0896
1.577,per pound,0.9,0.2756,pounds,0.4829
6.6391,per pound,0.96,0.3197,pounds,2.2107
4.1877,per pound,1.0,0.3307,pounds,1.3849
2.1614,per pound,0.82,0.2646,pounds,0.6973
1.3154,per pound,0.65,0.3748,pounds,0.7585
2.133,per pound,0.776,0.3748,pounds,1.0302
2.994,per pound,0.77,0.3307,pounds,1.2859
2.994,per pound,1.0,0.1543,pounds,0.4621
2.58,per pound,0.94,0.3197,pounds,0.8774
2.8189,per pound,1.0,0.3307,pounds,0.9322
1.1198,per pound,0.8818,0.4409,pounds,0.5599
1.0175,per pound,1.0,0.5401,pounds,0.5496
4.1458,per pound,0.91,0.3748,pounds,1.7075
2.3347,per pound,0.91,0.3748,pounds,0.9616
1.1618,per pound,0.91,0.3748,pounds,0.4785
2.4176,per pound,0.75,0.3197,pounds,1.0304
1.0429,per pound,0.65,0.3527,pounds,0.566
1.9451,per pound,0.776,0.3527,pounds,0.8841
0.3604,per pound,0.52,0.3307,pounds,0.2292
1.5489,per pound,0.7695,0.3968,pounds,0.7987
